room,hall,bathroom,size,floor,subway_distance,attention,visit,unit_price,price
1,1,1,39.9,6,429,0,8,105263,420
2,1,1,63.48,6,,4,5,49622,315
2,1,1,87.79,6,,1,3,38615,339
2,1,1,88.5,29,739,0,1,54237,480
2,1,1,80.55,26,,0,3,55866,450
2,1,1,65.42,21,417,3,4,81015,530
2,1,1,87.51,24,406,0,5,59422,520
3,2,2,119.5,6,,0,1,45607,545
2,1,1,84.12,6,,0,3,48740,410
2,1,1,97.37,20,1036,0,2,103728,1010
2,1,1,75.66,21,829,0,24,73751,558
2,1,1,65.8,16,517,4,19,85866,565
1,0,1,46.12,25,306,4,22,55941,258
2,1,1,67.62,6,958,15,26,61520,416
2,1,1,55,6,1028,3,18,121091,666
2,2,1,80.29,6,,18,32,26155,210
2,1,2,96.48,6,1103,22,24,29022,280
2,1,2,115.85,21,,0,0,82866,960
2,1,1,52.4,6,,3,0,46374,243
3,1,1,68,18,1382,2,0,85000,578
2,1,1,57.42,6,838,14,7,54859,315
2,1,1,61.1,20,733,2,10,60556,370
2,1,1,52.59,6,1180,8,14,61799,325
1,1,1,36.52,6,308,14,23,109529,400
2,1,1,57.1,6,290,3,29,129597,740
2,1,1,85.67,17,,1,18,71203,610
1,1,1,122.45,28,751,2,17,70233,860
3,2,2,193.24,28,314,2,28,70172,1356
3,1,1,85.41,18,449,27,21,98349,840
3,1,1,75.7,25,903,6,26,71995,545
2,1,2,88.78,9,868,0,19,34918,310
2,1,1,63.15,21,846,3,2,58591,370
2,1,1,60.02,18,818,3,1,86638,520
2,1,1,76.31,25,386,3,8,58315,445
1,1,1,86.76,22,773,3,4,51867,450
2,1,1,56.63,5,250,4,1,61805,350
2,1,1,74.1,6,1364,2,5,128880,955
2,1,1,54.6,6,671,2,4,93407,510
2,1,1,79.41,6,369,2,7,45208,359
2,1,1,92.08,28,608,0,5,82320,758
3,2,2,161.2,16,835,0,9,105459,1700
1,1,1,50.89,6,,4,1,39300,200
1,1,1,44.03,12,445,1,1,149898,660
2,1,1,67.95,6,1427,1,1,67697,460
3,1,1,77.81,6,248,0,0,70685,550
2,1,1,69.99,18,966,1,0,55436,388
2,1,1,75.2,14,799,0,0,95745,720
3,2,2,129.82,7,,1,0,37359,485
3,1,1,80.16,6,,0,4,40544,325
3,1,2,114.72,31,542,0,2,62762,720
1,1,1,43.08,24,,0,4,90529,390
3,1,1,82.86,16,857,2,2,98962,820
2,1,1,90.81,25,487,0,2,104944,953
2,1,1,87.15,29,304,2,2,66552,580
