room,hall,bathroom,size,floor,subway_distance,attention,visit,unit_price,price
3,1,1,94.99,11,461,3,0,52637,500
2,2,1,92.27,20,1475,12,0,60691,560
1,1,1,43.98,8,672,7,0,72533,319
2,2,1,117.88,17,493,5,0,118765,1400
2,1,1,63.84,17,344,13,0,71272,455
2,1,1,65.06,18,532,18,0,77621,505
4,2,2,192.72,16,904,10,0,72125,1390
1,1,1,39.28,12,590,3,0,132383,520
2,1,2,127.31,10,910,1,0,117037,1490
4,2,2,162.74,10,1430,1,0,50080,815
4,2,3,200.8,7,,1,0,55777,1120
1,1,1,68.92,22,867,0,0,66744,460
1,1,1,42.77,20,1055,25,0,65466,280
2,1,1,61.49,28,577,0,0,81151,499
3,1,1,67.9,6,1045,5,0,106038,720
2,1,1,58.6,6,1255,1,1,145051,850
4,1,2,121.16,6,650,1,0,112248,1360
2,1,1,94.98,19,1191,2,0,53696,510
3,2,2,137.64,25,819,0,0,48314,665
3,2,2,140.79,14,517,2,0,62504,880
2,1,1,99.96,6,,0,0,51020,510
2,1,1,65.3,7,1068,0,0,85758,560
2,1,1,87.42,23,448,22,0,51476,450
2,2,1,72.48,6,426,41,0,97682,708
1,1,1,62.68,18,1191,7,0,59987,376
2,1,1,76.3,4,856,0,0,107471,820
3,2,1,110.38,20,597,3,0,54267,599
3,1,1,74.6,6,549,1,0,73727,550
2,2,2,133.23,30,652,2,0,55393,738
3,1,1,67.8,16,1045,9,0,95575,648
2,1,1,79.12,12,428,1,0,83418,660
2,1,1,104.15,4,873,1,0,48968,510
2,1,1,58.44,6,616,7,0,70157,410
3,2,2,119.26,26,577,0,0,90558,1080
3,2,2,156.39,11,438,0,0,61385,960
2,1,1,61.16,16,417,10,0,80118,490
4,3,4,315.04,2,,1,0,88878,2800
2,1,1,90.02,24,1098,1,0,54432,490
3,1,1,67.82,14,1152,4,0,78148,530
1,1,1,70,10,575,3,0,110000,770
3,2,2,167.26,11,465,2,0,72821,1218
1,0,1,40.02,28,1196,3,0,81209,325
2,1,1,56.33,6,463,2,0,73673,415
