direct,actor,date,long,type,rate,comment_sum,name,money,year,country
落落,赵英博,2018-09-21,104.0,剧情 ,5.8,71358.0,悲伤逆流成河,35491,2018,cn
陈可辛,赵薇,2014-09-25,130.0,剧情 ,8.4,296857.0,亲爱的,34497,2014,cn
杨文军 ,黄晓明,2015-04-30,107.0,爱情,3.6,106364.0,何以笙箫默,35352,2015,cn
周拓如,吴亦凡,2016-07-08,98.0,剧情 ,4.1,87043.0,致青春·原来你还在这里,33686,2016,cn
西蒙·韦斯特,西尔维斯特·史泰龙,2012-09-04,103.0,动作 ,6.8,103474.0,敢死队2,33218,2012,cn
洪金宝,洪金宝,2016-04-01,99.0,剧情 ,5.3,44005.0,我的特工爷爷,32445,2016,cn
易小星,白客,2015-12-18,95.0,喜剧 ,5.5,139279.0,万万没想到,32251,2015,cn
蒂姆·肯德尔,赵薇,2015-06-26,118.0,喜剧 ,4.4,65846.0,横冲直撞好莱坞,32236,2015,cn
滕华涛,白百何,2011-11-08,110.0,剧情 ,7.3,431100.0,失恋33天,32064,2011,cn
李晨,李晨,2017-09-29,115.0,剧情 ,5.1,51070.0,空天猎,31775,2017,cn
袁锦麟,刘德华,2013-12-12,104.0,动作 ,6.4,84428.0,风暴,31475,2013,cn
钱嘉乐,郑伊健,2018-09-21,99.0,动作 ,5.0,25772.0,黄金兄弟,31532,2018,cn
张立嘉,成龙,2017-12-22,110.0,剧情 ,4.7,31153.0,机器之血,30533,2017,cn
麦兆辉 ,刘青云,2014-05-29,130.0,动作 ,6.2,112295.0,窃听风云3,30870,2014,cn
曹保平,邓超,2015-08-27,139.0,剧情 ,8.0,298432.0,烈日灼心,30524,2015,cn
谢东燊,廖凡,2017-08-11,110.0,动作 ,4.9,94363.0,心理罪,30397,2017,cn
孙健君,刘德华,2013-06-09,122.0,动作 ,2.9,90367.0,天机·富春山居图,30032,2013,cn
袁和平,大鹏,2017-12-14,113.0,动作 ,4.4,86862.0,奇门遁甲,29964,2017,cn
郭敬明,杨幂,2013-08-08,116.0,剧情 ,4.9,155774.0,小时代2：青木时代,29630,2013,cn
丁亮 ,张伟,2015-01-30,96.0,喜剧 ,7.3,8444.0,熊出没之雪岭熊风,29572,2015,cn
陈正道,黄渤,2017-04-28,119.0,剧情 ,7.1,214710.0,记忆大师,29292,2017,cn
肖洋,冯绍峰,2017-12-29,110.0,喜剧 ,5.5,90637.0,二代妖精之今生有幸,29217,2017,cn
张艺谋,陈道明,2014-05-16,111.0,剧情 ,7.8,203960.0,归来,29147,2014,cn
王家卫,梁朝伟,2013-01-08,111.0,剧情,7.9,332392.0,一代宗师,28924,2013,cn
丁亮 ,张伟,2016-01-16,96.0,喜剧 ,6.2,5165.0,熊出没之熊心归来,28775,2016,cn
