克里斯·帕拉特,870
艾玛·沃森,587
安德鲁·加菲尔德,1169
苏拉·沙玛,186
斯科特·安第斯,0
小罗伯特·唐尼,2309
马特·达蒙,1251
丹尼尔·克雷格,391
杰森·苏戴奇斯,0
利亚姆·海姆斯沃斯,445
威尔·史密斯,1467
艾丽西亚·维坎德,413
亚伦·泰勒-约翰逊,234
道恩·强森,1258
菲丽希缇·琼斯,226
塔伦·埃格顿,252
约翰尼·德普,2529
伊恩·麦克莱恩,494
莱昂纳多·迪卡普里奥,1199
阿兹·安萨里,0
西尔维斯特·史泰龙,483
克里斯·派恩,417
马特·达蒙,1251
桑德拉·布洛克,791
西蒙·佩吉,344
桑德拉·布洛克,791
莉莉·詹姆斯,494
杰拉德·巴特勒,511
安德鲁·加菲尔德,1169
范·迪塞尔,1612
