佩顿·里德,0
J·J·艾布拉姆斯,0
布莱恩·辛格,0
乔·沃茨,0
斯科特·德瑞克森,0
彼得·杰克逊,165
克里斯托弗·诺兰,254
沙恩·布莱克,150
马特·里夫斯,0
詹姆斯·曼高德,0
安东尼·罗素 ,0
塔伊加·维迪提,0
阿兰·泰勒,0
马特·里夫斯,0
布莱恩·辛格,0
詹姆斯·古恩,0
扎克·施奈德,122
斯蒂文·S·迪奈特,0
佩顿·里德,0
布拉德·伯德,0
罗森·马歇尔·瑟伯,0
瑞恩·库格勒,0
布拉德·佩顿,0
斯蒂文·S·迪奈特,0
朱浩伟,163
艾里克斯·库兹曼,0
派蒂·杰金斯,0
拉斯·霍尔斯道姆,0
大卫·叶茨,0
詹姆斯·古恩,0
扎克·施奈德,122
比尔·康顿,0
雷德利·斯科特,168
马克·韦布,0
罗兰·艾默里奇,70
吕寅荣,0
乔斯·韦登,0
唐·霍尔 ,0
萨姆·门德斯,0
李安,11582
费格尔·雷利 ,0
巴里·索南菲尔德,0
罗阿尔·乌索格,0
加里斯·爱德华斯,0
罗兰·艾默里奇,70
加里斯·爱德华斯,0
马修·沃恩,0
罗伯·马歇尔,0
杰克·卡斯丹,0
帕特里克·休斯,0
彼得·杰克逊,165
麦克·特米尔 ,0
克里斯托弗·诺兰,254
麦克·特米尔 ,0
保罗·格林格拉斯,0
肯尼思·布拉纳,0
凯尔·巴尔达 ,0
林诣彬,201
迪安·德夫林,0
阿方索·卡隆,84
斯科特·沃,0
梅尔·吉布森,372
