张嘉佳,梁朝伟,2016-12-23,128,喜剧 ,4.0,167841,摆渡人
大鹏,大鹏,2017-09-29,117,喜剧 ,6.6,195263,缝纫机乐队
冯小刚,葛优,2010-12-22,120,喜剧 ,6.5,247019,非诚勿扰2
郭帆,周冬雨,2014-04-25,98,剧情 ,5.8,176994,同桌的你
帕特里克·休斯,西尔维斯特·史泰龙,2014-09-01,126,动作 ,6.7,81052,敢死队3
胡笳 ,杨颖,2015-01-30,88,喜剧,3.4,39579,奔跑吧！兄弟
林德禄 ,古天乐,2018-09-14,97,剧情 ,5.6,45804,反贪风暴3
宁海强 ,唐国强,2015-08-28,111,历史 ,4.8,12896,百团大战
鲍德熹 ,陈坤,2015-02-19,118,动作 ,4.2,63247,钟馗伏魔：雪妖魔灵
叶伟民,吴镇宇,2014-07-18,90,剧情 ,4.8,72285,京城81号
陈思诚,梁家辉,2014-02-14,121,爱情,6.1,127123,北京爱情故事
苏有朋,王凯,2017-03-31,112,剧情 ,6.4,176710,嫌疑人X的献身
陈凯歌,王宝强,2015-07-03,123,喜剧 ,5.4,141268,道士下山
邱礼涛,刘德华,2017-04-28,120,动作 ,6.3,73696,拆弹专家
张之亮,范冰冰,2014-07-31,103,动作 ,3.7,62130,白发魔女传之明月天国
郭敬明,范冰冰,2016-09-29,121,动画 ,3.8,102362,爵迹
郑芬芬,张子枫,2018-08-17,115,喜剧 ,6.9,146796,快把我哥带走
何炅,李易峰,2015-07-10,107,爱情,4.1,92961,栀子花开
杨庆,陈坤,2016-04-01,98,剧情 ,7.2,215376,火锅英雄
冯小刚,张国立,2012-11-29,146,剧情 ,7.5,163398,一九四二
陈正道,杨子姗,2015-01-08,131,喜剧 ,7.2,223006,重返20岁
刘镇伟,韩庚,2016-09-14,93,喜剧 ,3.6,48405,大话西游3
任鹏远,徐峥,2018-04-28,114,剧情 ,5.7,108897,幕后玩家
吴君如,吴君如,2017-12-29,88,喜剧 ,4.2,83057,妖铃铃
落落,赵英博,2018-09-21,104,剧情 ,5.8,71358,悲伤逆流成河
陈可辛,赵薇,2014-09-25,130,剧情 ,8.4,296857,亲爱的
杨文军 ,黄晓明,2015-04-30,107,爱情,3.6,106364,何以笙箫默
周拓如,吴亦凡,2016-07-08,98,剧情 ,4.1,87043,致青春·原来你还在这里
西蒙·韦斯特,西尔维斯特·史泰龙,2012-09-04,103,动作 ,6.8,103474,敢死队2
洪金宝,洪金宝,2016-04-01,99,剧情 ,5.3,44005,我的特工爷爷
易小星,白客,2015-12-18,95,喜剧 ,5.5,139279,万万没想到
蒂姆·肯德尔,赵薇,2015-06-26,118,喜剧 ,4.4,65846,横冲直撞好莱坞
滕华涛,白百何,2011-11-08,110,剧情 ,7.3,431100,失恋33天
李晨,李晨,2017-09-29,115,剧情 ,5.1,51070,空天猎
袁锦麟,刘德华,2013-12-12,104,动作 ,6.4,84428,风暴
钱嘉乐,郑伊健,2018-09-21,99,动作 ,5.0,25772,黄金兄弟
张立嘉,成龙,2017-12-22,110,剧情 ,4.7,31153,机器之血
麦兆辉 ,刘青云,2014-05-29,130,动作 ,6.2,112295,窃听风云3
曹保平,邓超,2015-08-27,139,剧情 ,8.0,298432,烈日灼心
谢东燊,廖凡,2017-08-11,110,动作 ,4.9,94363,心理罪
孙健君,刘德华,2013-06-09,122,动作 ,2.9,90367,天机·富春山居图
袁和平,大鹏,2017-12-14,113,动作 ,4.4,86862,奇门遁甲
郭敬明,杨幂,2013-08-08,116,剧情 ,4.9,155774,小时代2：青木时代
丁亮 ,张伟,2015-01-30,96,喜剧 ,7.3,8444,熊出没之雪岭熊风
陈正道,黄渤,2017-04-28,119,剧情 ,7.1,214710,记忆大师
肖洋,冯绍峰,2017-12-29,110,喜剧 ,5.5,90637,二代妖精之今生有幸
张艺谋,陈道明,2014-05-16,111,剧情 ,7.8,203960,归来
王家卫,梁朝伟,2013-01-08,111,剧情,7.9,332392,一代宗师
丁亮 ,张伟,2016-01-16,96,喜剧 ,6.2,5165,熊出没之熊心归来
顾长卫,杨颖,2014-12-24,98,喜剧 ,4.6,63873,微爱之渐入佳境
徐克,刘德华,2010-09-29,123,动作 ,6.5,178581,狄仁杰之通天帝国
吕乐,姚晨,2018-10-05,102,剧情,7.5,53720,找到你
刘江,高圆圆,2015-04-02,127,喜剧 ,5.9,65606,咱们结婚吧
王子鸣,文章,2013-06-21,98,喜剧 ,4.6,106438,不二神探
许安,李连杰,2016-07-29,109,剧情 ,2.9,45337,封神传奇
吴宇森,梁朝伟,2008-07-10,,剧情 ,6.3,132440,赤壁(上)
徐静蕾,吴亦凡,2015-02-10,109,爱情,4.9,125150,有一个地方只有我们知道
陈德森,甄子丹,2009-12-18,,剧情 ,7.7,235945,十月围城
林玉芬,郑爽,,45,剧情 ,6.5,89036,微微一笑很倾城
陈正道,徐峥,2014-04-29,104,剧情 ,7.6,239090,催眠大师
路阳,张震,2017-07-19,120,剧情 ,7.2,240463,绣春刀·修罗战场
管虎,刘烨,2013-03-29,108,喜剧 ,7.0,180081,厨子戏子痞子
包贝尔,文章,2018-09-30,,喜剧 ,3.9,14504,胖子行动队
王晶,刘德华,2016-09-30,102,喜剧 ,3.3,28402,王牌逗王牌
冯小刚,葛优,2008-12-18,130,喜剧 ,7.1,288571,非诚勿扰
宁浩,徐峥,2013-12-03,117,剧情 ,8.2,308828,无人区
袁和平,甄子丹,2016-02-19,103,剧情 ,4.7,29732,卧虎藏龙：青冥宝剑
田羽生,郑恺,2015-11-06,114,喜剧 ,5.0,60992,前任2：备胎反击战
丁亮 ,张秉君,2014-01-17,95,喜剧 ,6.5,13588,熊出没之夺宝熊兵
埃里克松·科尔,卢克·布雷西,2015-12-04,113,动作 ,6.9,71325,极盗者
张艺谋,小沈阳,2009-12-11,,剧情,4.6,80814,三枪拍案惊奇
吴宇森,梁朝伟,2009-01-08,,剧情 ,6.4,101785,赤壁(下)
陈木胜,刘青云,2013-11-29,134,剧情 ,7.3,133001,扫毒
冯德伦,刘德华,2017-08-11,108,动作 ,5.2,47607,侠盗联盟
吴有音,赵又廷,2018-02-01,117,爱情 ,6.7,67844,南极之恋
麦兆辉 ,梁朝伟,2012-08-07,120,剧情 ,6.8,156373,听风者
叶伟信,甄子丹,2010-04-27,108,动作 ,7.2,155362,叶问2：宗师传奇
邹佡,谢霆锋,2014-09-05,106,爱情,5.1,77920,一生一世
彭浩翔,周迅,2014-11-28,95,喜剧 ,5.7,138602,撒娇女人最好命
饶晓志,陈建斌,2018-11-16,108,剧情 ,8.3,97408,无名之辈
徐纪周,邓超,2017-12-22,124,动作 ,5.9,90764,心理罪之城市之光
谢涤葵 ,黄磊,2015-02-19,96,喜剧 ,4.5,15858,爸爸去哪儿2
韩杰,王俊凯,2017-12-29,109,剧情 ,5.0,84855,解忧杂货店
钱人豪,张智霖,2017-07-06,93,剧情 ,3.8,20008,京城81号2
彭三源,刘德华,2015-03-20,108,剧情,6.5,64011,失孤
安相勋,杨幂,2015-10-30,112,剧情 ,6.1,93304,我是证人
杜琪峰,刘德华,2013-07-04,129,喜剧 ,7.1,144766,盲探
渡边信一郎,山寺宏一,,25,剧情 ,9.6,32096,赏金猎人
陈木胜,刘德华,2011-01-19,132,剧情 ,5.9,88048,新少林寺
许宏宇,金城武,2017-04-27,106,喜剧 ,6.8,197259,喜欢你
